Accident_ID,Date,Time,Location,Latitude,Longitude,Weather,Traffic_Volume,Severity
1,2025-03-10,06:00,MG Road Junction,15.3647,75.1239,Cloudy,960,Moderate
2,2025-04-01,09:00,Hubballi Railway Station,15.3515,75.1387,Cloudy,1144,Minor
3,2025-01-14,18:00,Gokul Road,15.3652,75.1106,Clear,1069,Minor
4,2025-04-07,20:00,Airport Road,15.3705,75.096,Cloudy,775,Minor
5,2025-04-17,14:00,Hubballi Railway Station,15.3515,75.1387,Cloudy,393,Moderate
6,2025-03-27,07:00,Unkal Lake Road,15.373,75.1115,Clear,770,Moderate
7,2025-04-25,11:00,Keshwapur,15.3565,75.1325,Cloudy,449,Minor
8,2025-02-22,19:00,Vidya Nagar,15.37,75.119,Rain,551,Major
9,2025-02-24,01:00,MG Road Junction,15.3647,75.1239,Clear,886,Minor
10,2025-03-27,01:00,Old Bus Stand,15.3502,75.138,Rain,722,Minor
11,2025-04-28,16:00,Gokul Road,15.3652,75.1106,Clear,598,Moderate
12,2025-04-19,20:00,Unkal Lake Road,15.373,75.1115,Rain,702,Moderate
13,2025-03-03,14:00,Hubballi Railway Station,15.3515,75.1387,Clear,357,Minor
14,2025-02-02,07:00,Vidya Nagar,15.37,75.119,Clear,516,Major
15,2025-03-07,19:00,Hubballi Railway Station,15.3515,75.1387,Clear,888,Major
16,2025-03-24,13:00,Airport Road,15.3705,75.096,Fog,470,Minor
17,2025-04-26,07:00,Keshwapur,15.3565,75.1325,Rain,894,Minor
18,2025-02-14,20:00,Unkal Lake Road,15.373,75.1115,Cloudy,769,Moderate
19,2025-02-02,23:00,Old Bus Stand,15.3502,75.138,Clear,410,Minor
20,2025-03-04,07:00,Unkal Lake Road,15.373,75.1115,Clear,828,Minor
21,2025-02-18,10:00,Vidya Nagar,15.37,75.119,Clear,830,Moderate
22,2025-04-05,22:00,Gokul Road,15.3652,75.1106,Clear,320,Minor
23,2025-03-14,23:00,Keshwapur,15.3565,75.1325,Clear,684,Minor
24,2025-03-31,10:00,Gokul Road,15.3652,75.1106,Clear,694,Minor
25,2025-02-10,00:00,Gokul Road,15.3652,75.1106,Rain,823,Moderate
26,2025-01-17,13:00,Airport Road,15.3705,75.096,Clear,276,Moderate
27,2025-03-20,09:00,Airport Road,15.3705,75.096,Clear,589,Minor
28,2025-03-03,20:00,Old Bus Stand,15.3502,75.138,Clear,1299,Minor
