Record_ID,Date,Time,Day,Is_Weekend,Location,Latitude,Longitude,Weather,Traffic_Volume,Average_Speed_kmph,Accident_Count,Congestion_Score,Congestion_Level,Risk_Score,Risk_Level
1,2025-02-05,20:00,Wednesday,No,Old Bus Stand,15.3502,75.138,Cloudy,782,37.9,0,38.79,Moderate,32.16,Low
2,2025-02-23,22:00,Sunday,Yes,Old Bus Stand,15.3502,75.138,Clear,231,43.5,0,15.56,Low,13.02,Low
3,2025-02-17,02:00,Monday,No,Old Bus Stand,15.3502,75.138,Cloudy,592,39.6,0,30.93,Low,25.69,Low
4,2025-02-15,15:00,Saturday,Yes,MG Road Junction,15.3647,75.1239,Clear,457,48.3,0,20.57,Low,17.0,Low
5,2025-03-10,06:00,Monday,No,MG Road Junction,15.3647,75.1239,Cloudy,960,35.9,1,49.75,Moderate,46.79,Medium
6,2025-04-01,09:00,Tuesday,No,Hubballi Railway Station,15.3515,75.1387,Cloudy,1144,34.2,1,57.4,Moderate,53.09,Medium
7,2025-01-20,10:00,Monday,No,Airport Road,15.3705,75.096,Clear,756,34.9,0,39.77,Moderate,33.04,Low
8,2025-02-21,14:00,Friday,No,Hubballi Railway Station,15.3515,75.1387,Clear,386,45.4,0,19.89,Low,16.51,Low
9,2025-01-14,18:00,Tuesday,No,Gokul Road,15.3652,75.1106,Clear,1069,36.1,2,56.85,Moderate,58.19,Medium
10,2025-03-03,18:00,Monday,No,MG Road Junction,15.3647,75.1239,Clear,1316,32.4,0,61.35,High,50.76,Medium
11,2025-03-30,23:00,Sunday,Yes,Vidya Nagar,15.37,75.119,Clear,297,39.2,0,20.65,Low,17.29,Low
12,2025-01-06,10:00,Monday,No,Unkal Lake Road,15.373,75.1115,Clear,726,36.0,0,38.0,Moderate,31.56,Low
13,2025-03-12,05:00,Wednesday,No,Vidya Nagar,15.37,75.119,Cloudy,422,48.1,0,19.45,Low,16.09,Low
14,2025-02-02,01:00,Sunday,Yes,Unkal Lake Road,15.373,75.1115,Clear,217,42.4,0,15.76,Low,13.21,Low
15,2025-04-10,15:00,Thursday,No,MG Road Junction,15.3647,75.1239,Rain,678,40.2,0,33.62,Low,27.87,Low
16,2025-03-05,03:00,Wednesday,No,MG Road Junction,15.3647,75.1239,Clear,554,38.4,0,30.34,Low,25.23,Low
17,2025-04-29,21:00,Tuesday,No,MG Road Junction,15.3647,75.1239,Cloudy,1314,31.1,0,62.11,High,51.41,Medium
18,2025-04-12,09:00,Saturday,Yes,Hubballi Railway Station,15.3515,75.1387,Cloudy,745,37.3,0,37.85,Moderate,31.41,Low
19,2025-02-20,15:00,Thursday,No,Airport Road,15.3705,75.096,Clear,403,39.2,0,24.44,Low,20.39,Low
20,2025-02-09,19:00,Sunday,Yes,Unkal Lake Road,15.373,75.1115,Clear,591,36.8,0,32.68,Low,27.19,Low
21,2025-04-07,20:00,Monday,No,Airport Road,15.3705,75.096,Cloudy,775,34.8,1,43.85,Moderate,41.98,Medium
22,2025-02-19,08:00,Wednesday,No,Hubballi Railway Station,15.3515,75.1387,Clear,954,35.9,0,46.2,Moderate,38.28,Medium
23,2025-01-20,03:00,Monday,No,Hubballi Railway Station,15.3515,75.1387,Rain,697,37.3,0,36.14,Moderate,30.01,Low
24,2025-01-01,21:00,Wednesday,No,Keshwapur,15.3565,75.1325,Clear,1045,34.4,0,50.41,Moderate,41.75,Medium
25,2025-04-06,20:00,Sunday,Yes,Vidya Nagar,15.37,75.119,Rain,662,34.0,0,36.99,Moderate,30.79,Low
